vehicleID,vehicleLID,diffBrakingDistanceMin,diffBrakingDistanceMax,diffBrakingDistanceValue,brakingDistanceMin,brakingDistanceMax,brakingDistanceValue,distanceMin,distanceMax,distanceValue,distanceTimestamp,vehPosMin,vehPosMax,vehPosValue,vehPosTimestamp,vehSpeedMin,vehSpeedMax,vehSpeedValue,vehSpeedTimestamp,refPosMin,refPosMax,refPosValue,refPosTimestamp,refSpeedMin,refSpeedMax,refSpeedValue,refSpeedTimestamp,vehDiseredDistance,refLength,currentTime
Vehicle3,Vehicle2,25.205135,25.205135,26.269062,0.025292,0.025292,0.096176,6.482276,6.482276,6.481275,145063156.630000,0.059570,0.059570,0.059570,145063156.630000,1.465799,1.465799,1.465799,145063156.630000,9.541847,9.541847,9.541847,145063156.630000,38.728405,38.728405,38.728405,145063156.630000,5.000000,3.000000,145063156.630000
Vehicle3,Vehicle2,28.195499,28.195499,29.265562,0.107642,0.107642,0.214549,7.562221,7.562221,7.561312,145063265.102500,0.208041,0.208041,0.208041,145063265.102500,2.958673,2.958673,2.958673,145063265.102500,10.770262,10.770262,10.770262,145063265.102500,40.736231,40.736231,40.736231,145063265.102500,5.000000,3.000000,145063265.102500
Vehicle3,Vehicle2,31.111708,31.111708,32.221324,0.235448,0.235448,0.400686,8.598730,8.598730,8.597775,145063372.376100,0.443914,0.443914,0.443914,145063372.376100,4.473873,4.473873,4.473873,145063372.376100,12.042643,12.042643,12.042643,145063372.376100,42.665770,42.665770,42.665770,145063372.376100,5.000000,3.000000,145063372.376100
Vehicle3,Vehicle2,33.897332,33.897332,35.032545,0.448595,0.448595,0.633012,9.586339,9.586339,9.585246,145063478.064600,0.764328,0.764328,0.764328,145063478.064600,6.007306,6.007306,6.007306,145063478.064600,13.350667,13.350667,13.350667,145063478.064600,44.518757,44.518757,44.518757,145063478.064600,5.000000,3.000000,145063478.064600
Vehicle3,Vehicle2,36.735531,36.735531,38.014113,0.712839,0.712839,0.959098,10.660032,10.660032,10.658503,145063594.779500,1.192876,1.192876,1.192876,145063594.779500,7.555100,7.555100,7.555100,145063594.779500,14.852908,14.852908,14.852908,145063594.779500,46.298675,46.298675,46.298675,145063594.779500,5.000000,3.000000,145063594.779500
Vehicle3,Vehicle2,39.294184,39.294184,40.397929,1.028296,1.028296,1.293527,11.518405,11.518405,11.517137,145063695.110100,1.673420,1.673420,1.673420,145063695.110100,9.113897,9.113897,9.113897,145063695.110100,16.191825,16.191825,16.191825,145063695.110100,48.003773,48.003773,48.003773,145063695.110100,5.000000,3.000000,145063695.110100
Vehicle3,Vehicle2,41.731811,41.731811,42.873696,1.420115,1.420115,1.716353,12.343444,12.343444,12.342046,145063795.335100,2.231676,2.231676,2.231676,145063795.335100,10.679919,10.679919,10.679919,145063795.335100,17.575120,17.575120,17.575120,145063795.335100,49.647095,49.647095,49.647095,145063795.335100,5.000000,3.000000,145063795.335100
Vehicle3,Vehicle2,44.212449,44.212449,45.575007,1.875885,1.875885,2.251568,13.301702,13.301702,13.299675,145063910.881200,2.918861,2.918861,2.918861,145063910.881200,12.250354,12.250354,12.250354,145063910.881200,19.220563,19.220563,19.220563,145063910.881200,51.225102,51.225102,51.225102,145063910.881200,5.000000,3.000000,145063910.881200
Vehicle3,Vehicle2,46.586054,46.586054,47.945326,2.383296,2.383296,2.816286,14.210029,14.210029,14.207872,145064025.538100,3.691439,3.691439,3.691439,145064025.538100,13.822623,13.822623,13.822623,145064025.538100,20.901467,20.901467,20.901467,145064025.538100,52.734891,52.734891,52.734891,145064025.538100,5.000000,3.000000,145064025.538100
Vehicle3,Vehicle2,48.680844,48.680844,49.898578,2.951136,2.951136,3.378004,14.932956,14.932956,14.931157,145064126.729500,4.492801,4.492801,4.492801,145064126.729500,15.393846,15.393846,15.393846,145064126.729500,22.425757,22.425757,22.425757,145064126.729500,54.185008,54.185008,54.185008,145064126.729500,5.000000,3.000000,145064126.729500
